bird,trk,site,cell,pd.sum,species,test.dir1,dir1.area,test.dir2,dir2.area,pref.speed,sp80.1,sp80.2,sp80.3,sp80.4,sp80.5,sp80.6,sp80.7,sp80.8,sp80.9,sp80.10,sp80.11,sp80.12,tune50,tune55,tune60,tune65,tune70,tune75,tune80,tune85,tune90,tune95
1505,11,5730,2,71.58795283,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1505,11,5730,3,357.2674118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506,1,5505,1,359.4054027,1,0,57.42877116,180,22.29261489,64.02,0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,6,5,5,5,5,3,2
1506,1,5505,2,355.9997217,1,0,50.41639781,180,15.59175032,79.86,0,0,0,0,0,0,0,1,1,1,1,1,7,7,5,5,5,5,5,3,2,2
1506,1,5746,1,146.160549,1,135,42.31027442,315,-1.238603686,16.03,0,0,0,0,0,0,1,1,1,0,0,0,7,7,7,7,7,4,3,3,1,1
1506,1,5746,2,147.1373301,1,135,56.67246753,315,35.5614115,79.86,0,0,0,0,0,0,0,0,1,1,1,1,6,6,6,5,5,5,4,4,3,2
1506,1,5746,3,339.7386402,1,315,50.88576747,135,42.68290155,64.02,0,0,0,0,0,0,0,0,0,1,1,1,6,5,5,5,4,4,3,2,1,1
1510,7,5020,1,23.48126751,1,45,18.29457839,225,-36.73073416,47.99,0,0,0,0,0,0,0,1,0,1,0,1,5,5,5,5,4,3,3,2,2,1
1510,7,5020,2,62.37875061,1,45,31.83886601,225,10.67845283,47.99,0,0,0,0,0,0,0,1,1,1,1,0,6,5,5,5,5,5,4,2,2,1
1510,7,5020,3,51.92784584,1,45,22.39723281,225,0.555699311,32.03,0,0,0,0,0,0,0,1,1,1,0,0,6,6,6,5,5,5,3,3,2,1
1510,7,5020,4,50.18839381,1,45,29.9967368,225,-0.020720197,47.99,0,0,0,0,0,0,0,0,1,1,0,0,5,5,5,5,5,4,2,1,1,1
