trial,direction,speed,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
193,315,-0.6955094722265123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,135,1.8997110945711444,16,44.001,20,20,12,12,12,4.0001,8.0001,4.0001,4.0001,8.0001,12,0,4.0001,8.0001,12,4.0001,4.0001,8.0001
196,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,315,1.3044905277734875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,NaN,NaN,0,8.0002,4.0001,4.0001,12,8.0002,12,0,12,16,8.0002,0,0,0,4.0001,0,0,0,0,4.0001
199,315,0.5236164190543707,0,0,4.0001,0,0,0,0,0,0,0,4.0001,4.0001,0,0,4.0001,4.0001,0,0,4.0001,0
200,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,135,0.21431389742439963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,135,0.8205298485235197,4.0001,4.0001,8.0002,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,4.0001,0,0
204,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001
205,135,1.6254153521544081,36.001,32.001,24.001,24.001,20,20,12,8.0002,12,16,4.0001,4.0001,12,12,4.0001,0,16,8.0002,0,16
206,NaN,NaN,4.0001,0,0,0,0,0,4.0001,0,0,0,4.0001,0,4.0001,8.0002,4.0001,4.0001,0,0,4.0001,0
207,315,1.4348242962684938,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,4.0001,4.0001,0,0
209,315,1.7729301728808387,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,4.0001,4.0001
210,NaN,NaN,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,135,1.4348242962684938,16,28.001,20,20,20,8.0002,12,4.0001,12,0,8.0002,4.0001,0,4.0001,12,8.0002,12,8.0002,0,0
212,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,315,1.8997110945711444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,NaN,NaN,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,315,0.21431389742439963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,NaN,NaN,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0
217,135,0.5236164190543707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,315,1.6254153521544081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,135,1.1256764103823331,0,16,4.0001,16,24.001,16,12,0,12,4.0001,0,4.0001,0,4.0001,0,8.0002,0,0,4.0001,8.0002
222,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,135,1.7729301728808387,20.001,24.001,28.001,12,4.0001,12,4.0001,8.0002,8.0002,4.0001,8.0002,4.0001,4.0001,4.0001,4.0001,4.0001,0,4.0001,8.0002,4.0001
224,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,315,1.1256764103823331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,135,-0.08671609823958155,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
228,NaN,NaN,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,315,-0.4013189010928366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,135,1.3044905277734875,20.001,32.001,12,16,24.001,16,8.0002,12,8.0002,4.0001,20.001,4.0001,4.0001,8.0002,8.0002,0,8.0002,4.0001,4.0001,4.0001
232,NaN,NaN,8.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,135,-0.4013189010928366,0,4.0001,0,4.0001,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0
234,NaN,NaN,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0
235,315,-0.08671609823958155,0,0,0,8.0001,4.0001,4.0001,4.0001,0,0,4.0001,8.0001,8.0001,8.0001,12,16,0,4.0001,0,0,0
236,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,135,-0.6955094722265123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,8.0001,0,0
238,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,4.0001,0,4.0001,0,0,0,0,0,0,0,0
239,315,0.8205298485235197,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
